"type","value","count","flag"
"top_twitterer","GeneticsUpdate",529,"none"
"top_twitterer","TunBreakingNews",393,"none"
"top_twitterer","genetics_blog",382,"none"
"top_twitterer","LifeSciWorld",226,"none"
"top_twitterer","ResearchAutism",222,"none"
"top_twitterer","Geneticswatch",208,"none"
"top_twitterer","SoFlaToday",152,"none"
"top_twitterer","FutureScience36",146,"none"
"top_twitterer","razibkhan",132,"none"
"top_twitterer","FutureExplore",113,"none"
"top_twitterer","GeneticsShare",91,"none"
"top_twitterer","LifeScienceshow",83,"none"
"top_twitterer","GeneticsRR",55,"none"
"top_twitterer","Perf_Genetics",37,"none"
"top_hashtag","neuroscience",91,"none"
"top_hashtag","SNRTG",74,"none"
"top_hashtag","ASHG15",72,"none"
"top_hashtag","BRCA",72,"none"
"top_hashtag","cancer",72,"none"
"top_hashtag","Beauty",68,"none"
"top_hashtag","cannabis",68,"none"
"top_hashtag","RareDisease",68,"none"
"top_hashtag","meded",66,"none"
"top_hashtag","Oceanside",66,"none"
"top_hashtag","healthyeating",62,"none"
"top_hashtag","anatomy",59,"none"
"top_hashtag","geometry",59,"none"
"top_hashtag","androidhomme",57,"none"
"tag","ASHG15",72,"conference"
"tag","iiwk15",16,"conference"
"tag","ttconf",11,"conference"
"tag","OBNAwards2015",10,"conference"
"tag","IWSGconf",7,"conference"
"tag","CPC15",6,"conference"
"tag","MPLC2015",5,"conference"
"tag","AONN2015",3,"conference"
"tag","ASHG15l",3,"conference"
"tag","CANO2015",3,"conference"
"tag","combio2015",3,"conference"
"tag","ESPE2015",3,"conference"
"tag","GCDE2015",3,"conference"
"tag","PlaywrightsWeek2015",3,"conference"
"tag","wce15",3,"conference"
"tag","WDE15",3,"conference"
"tag","ASHG2015",2,"conference"
"tag","biohack15",2,"conference"
"tag","CCD2015",2,"conference"
"tag","Cures2015",2,"conference"
"tag","HectorDoesSeattle2015...",2,"conference"
"tag","IDWeek2015",2,"conference"
"tag","OO15",2,"conference"
"tag","sdbp2015",2,"conference"
"tag","UGW15",2,"conference"
"tag","15-067",1,"conference"
"tag","2015DUQIOC",1,"conference"
"tag","ACSCC2015",1,"conference"
"tag","AHLA15",1,"conference"
"tag","ARESRC2015",1,"conference"
"tag","ASHG15...",1,"conference"
"tag","CRSBAGM2015",1,"conference"
"tag","DigiMed15",1,"conference"
"tag","FNCE2015",1,"conference"
"tag","gfm15",1,"conference"
"tag","harvest15",1,"conference"
"tag","iges2015",1,"conference"
"tag","LoLWorlds2015",1,"conference"
"tag","MentalHealthWeek2015",1,"conference"
"tag","NBForum2015",1,"conference"
"tag","PeerRevWk15",1,"conference"
"tag","postEctrims15",1,"conference"
"tag","ps15uv",1,"conference"
"tag","soh2015",1,"conference"
"tag","UCSFHDRS15",1,"conference"
"tag","WomensHealth15",1,"conference"
"tag","worm15",1,"conference"
"tag","Beauty",68,"mesh"
"tag","cannabis",68,"mesh"
"tag","anatomy",59,"mesh"
"tag","Perception",37,"mesh"
"tag","research",34,"mesh"
"tag","electronics",26,"mesh"
"tag","colorado",17,"mesh"
"tag","Medicine",15,"mesh"
"tag","education",13,"mesh"
"tag","food",11,"mesh"
"tag","milk",9,"mesh"
"tag","pets",9,"mesh"
"tag","bioethics",8,"mesh"
"tag","family",8,"mesh"
"tag","menopause",8,"mesh"
"tag","nutrition",8,"mesh"
"tag","women",8,"mesh"
"tag","book",7,"mesh"
"tag","dementia",7,"mesh"
"tag","epidemiology",7,"mesh"
"tag","insomnia",7,"mesh"
"tag","marketing",7,"mesh"
"tag","chromosomes",6,"mesh"
"tag","Dystonia",6,"mesh"
"tag","genome",6,"mesh"
"tag","Intelligence",6,"mesh"
"tag","ontario",6,"mesh"
"tag","privacy",6,"mesh"
"tag","Technology",6,"mesh"
"tag","wolves",6,"mesh"
"tag","Arizona",5,"mesh"
"tag","bible",5,"mesh"
"tag","Canada",5,"mesh"
"tag","diet",5,"mesh"
"tag","dogs",5,"mesh"
"tag","Drosophila",5,"mesh"
"tag","Environment",5,"mesh"
"tag","golf",5,"mesh"
"tag","Israel",5,"mesh"
"tag","men",5,"mesh"
"tag","nurses",5,"mesh"
"tag","pregnancy",5,"mesh"
"tag","religion",5,"mesh"
"tag","smoking",5,"mesh"
"tag","Aging",4,"mesh"
"tag","animals",4,"mesh"
"tag","anthropology",4,"mesh"
"tag","anxiety",4,"mesh"
"tag","brain",4,"mesh"
"tag","China",4,"mesh"
"tag","Autism",55,"none"
"tag","gamerguy",53,"none"
"tag","Montgomery",53,"none"
"tag","EhlersDanlosSyndrome",45,"none"
"tag","flawless",45,"none"
"tag","textbook",44,"none"
"tag","hereditarycancer",43,"none"
"tag","bitcoin",42,"none"
"tag","consumers",40,"none"
"tag","playboy",39,"none"
"tag","wish",38,"none"
"tag","job",37,"none"
"tag","baby",36,"none"
"tag","BeautyReally",36,"none"
"tag","FortLauderdale",34,"none"
"tag","KVTC",34,"none"
"tag","Bioinformatics",33,"none"
"tag","Marijuana",33,"none"
"tag","bed",32,"none"
"tag","mhealth",32,"none"
"tag","Healthcare",31,"none"
"tag","ootdshare",31,"none"
"tag","bills",30,"none"
"tag","genetic",28,"none"
"tag","Hypermobility",28,"none"
"tag","fuckwisely",26,"none"
"tag","girlsdayout",26,"none"
"tag","noiretblanc",26,"none"
"tag","BreastCancer",24,"none"
"tag","EDS",24,"none"
"tag","man",24,"none"
"tag","CRISPR",23,"none"
"tag","evolution",23,"none"
