"type","value","count","flag"
"top_twitterer","phonak",659,"none"
"top_twitterer","ktoddhouston",575,"none"
"top_twitterer","RoyalVolService",257,"none"
"top_twitterer","ActionOnHearing",251,"none"
"top_twitterer","CochlearUS",243,"none"
"top_twitterer","AegisSoundLabs",147,"none"
"top_twitterer","RestoreHearing",126,"none"
"top_twitterer","AGBellAssoc",113,"none"
"top_twitterer","MDLinx",102,"none"
"top_twitterer","HearingHealthFn",100,"none"
"top_twitterer","HEALTHFITNES26",88,"none"
"top_twitterer","HLAA",64,"none"
"top_twitterer","MedAcoustics",62,"none"
"top_twitterer","JaniceSLintz",59,"none"
"top_hashtag","HearingLoss",829,"none"
"top_hashtag","hearing",380,"none"
"top_hashtag","tinnitus",159,"none"
"top_hashtag","SandraBland's",121,"none"
"top_hashtag","Diet",107,"none"
"top_hashtag","UAE",93,"none"
"top_hashtag","hearingaids",89,"none"
"top_hashtag","audpeeps",88,"none"
"top_hashtag","deafness",84,"none"
"top_hashtag","loss",81,"none"
"top_hashtag","deaf",77,"none"
"top_hashtag","LSLS2015",70,"none"
"top_hashtag","ListenOut",65,"none"
"top_hashtag","humanrights",60,"none"
"tag","LSLS2015",70,"conference"
"tag","E32015",8,"conference"
"tag","iced2015",5,"conference"
"tag","USH2015",4,"conference"
"tag","BSHS15",3,"conference"
"tag","td15",3,"conference"
"tag","evo2015",2,"conference"
"tag","flipcon15",2,"conference"
"tag","Splash2015",2,"conference"
"tag","15CCDS",1,"conference"
"tag","18Mart1915",1,"conference"
"tag","Ashes15",1,"conference"
"tag","bigstuf2015",1,"conference"
"tag","biohack15",1,"conference"
"tag","CanadaDay2015",1,"conference"
"tag","CFMACONF15",1,"conference"
"tag","disabilityconfident",1,"conference"
"tag","edfringe2015",1,"conference"
"tag","ElectricForest2015",1,"conference"
"tag","Glasto2015",1,"conference"
"tag","MissingConf",1,"conference"
"tag","naidoc2015",1,"conference"
"tag","NSPC15",1,"conference"
"tag","psyc363s2015",1,"conference"
"tag","TO2015",1,"conference"
"tag","wfd2015",1,"conference"
"tag","hearing",380,"mesh"
"tag","tinnitus",159,"mesh"
"tag","Diet",107,"mesh"
"tag","deafness",84,"mesh"
"tag","dementia",42,"mesh"
"tag","audiology",41,"mesh"
"tag","music",28,"mesh"
"tag","technology",23,"mesh"
"tag","Afghanistan",18,"mesh"
"tag","Iraq",18,"mesh"
"tag","research",16,"mesh"
"tag","aging",14,"mesh"
"tag","noise",14,"mesh"
"tag","child",10,"mesh"
"tag","freedom",10,"mesh"
"tag","LOVE",10,"mesh"
"tag","Nutrition",10,"mesh"
"tag","osteoporosis",10,"mesh"
"tag","marketing",9,"mesh"
"tag","Nigeria",9,"mesh"
"tag","parents",9,"mesh"
"tag","radio",9,"mesh"
"tag","Mexico",8,"mesh"
"tag","volunteers",8,"mesh"
"tag","cannabis",7,"mesh"
"tag","depression",7,"mesh"
"tag","Golf",7,"mesh"
"tag","sound",7,"mesh"
"tag","mice",6,"mesh"
"tag","travel",6,"mesh"
"tag","communication",5,"mesh"
"tag","family",5,"mesh"
"tag","hyperacusis",5,"mesh"
"tag","Medicare",5,"mesh"
"tag","pediatrics",5,"mesh"
"tag","snoring",5,"mesh"
"tag","Acupuncture",4,"mesh"
"tag","brain",4,"mesh"
"tag","exercise",4,"mesh"
"tag","insurance",4,"mesh"
"tag","Obesity",4,"mesh"
"tag","parenting",4,"mesh"
"tag","Police",4,"mesh"
"tag","radiology",4,"mesh"
"tag","smoking",4,"mesh"
"tag","acoustics",3,"mesh"
"tag","beauty",3,"mesh"
"tag","empathy",3,"mesh"
"tag","Ibuprofen",3,"mesh"
"tag","loneliness",3,"mesh"
"tag","GrowingUpPlayingSports",48,"none"
"tag","hearingaccess",45,"none"
"tag","SubtitleIt",45,"none"
"tag","SandraBland",44,"none"
"tag","NHS",39,"none"
"tag","carenews",38,"none"
"tag","SBS",34,"none"
"tag","9",33,"none"
"tag","tech",32,"none"
"tag","1",27,"none"
"tag","NIHL",27,"none"
"tag","hearingAid",26,"none"
"tag","OTRAMinneapolis",23,"none"
"tag","icd10",21,"none"
"tag","cochlear",19,"none"
"tag","MiracleEar",18,"none"
"tag","TMS",18,"none"
"tag","DidYouKnow",16,"none"
"tag","HearandTalk",16,"none"
"tag","innovation",16,"none"
"tag","Antibiotics",15,"none"
"tag","earplugs",15,"none"
"tag","hear",15,"none"
"tag","HoH",15,"none"
"tag","success",15,"none"
"tag","cochlearimplant",14,"none"
"tag","android",13,"none"
