"type","value","count","flag"
"top_twitterer","GeneticsUpdate",5256,"none"
"top_twitterer","Dreamville402",4419,"none"
"top_twitterer","AssGods",4111,"none"
"top_twitterer","TittyGods",2883,"none"
"top_twitterer","sl1lm",2513,"none"
"top_twitterer","sweden",2432,"none"
"top_twitterer","LivinOnAHigh",2168,"none"
"top_twitterer","WorldStaarr",2145,"none"
"top_twitterer","WhipGod",2067,"none"
"top_twitterer","1mxd_beauty",1914,"none"
"top_twitterer","TMFollowBackz",1710,"none"
"top_twitterer","Illuminares",1594,"none"
"top_twitterer","BruhSarcastic",1335,"none"
"top_twitterer","dbbmonica",1297,"none"
"top_hashtag","dnaspectrum",629,"none"
"top_hashtag","cancer",481,"none"
"top_hashtag","LoveMyShortPpl",433,"none"
"top_hashtag","RareDisease",417,"none"
"top_hashtag","wine",320,"none"
"top_hashtag","autism",297,"none"
"top_hashtag","neuroscience",293,"none"
"top_hashtag","DigitalHealth",291,"none"
"top_hashtag","winelover",291,"none"
"top_hashtag","genome",250,"none"
"top_hashtag","cannabis",245,"none"
"top_hashtag","DNADay",223,"none"
"top_hashtag","BRCA",202,"none"
"top_hashtag","bioethics",201,"none"
"tag","DNADay2015",106,"conference"
"tag","genetics15",51,"conference"
"tag","ahcj15",50,"conference"
"tag","ICED2015",50,"conference"
"tag","SBBUK15",34,"conference"
"tag","csn15",29,"conference"
"tag","Rhinds2015",22,"conference"
"tag","AACR15",21,"conference"
"tag","DNADay15",17,"conference"
"tag","et15",17,"conference"
"tag","anzdohad15",15,"conference"
"tag","GSS15",14,"conference"
"tag","PlantSci2015",14,"conference"
"tag","epiwm2015",11,"conference"
"tag","WMIF15",11,"conference"
"tag","2015neurofest",10,"conference"
"tag","AAN2015",10,"conference"
"tag","WORM15",10,"conference"
"tag","BioIT15",9,"conference"
"tag","CARTaGENE2015",9,"conference"
"tag","GSAus2015",9,"conference"
"tag","ISACON15",9,"conference"
"tag","pmwcuk15",9,"conference"
"tag","GenCamp2015",8,"conference"
"tag","HIMSS15",8,"conference"
"tag","knvm15",8,"conference"
"tag","SAA2015",8,"conference"
"tag","ASHG15",7,"conference"
"tag","CelebrityAwards2015",7,"conference"
"tag","NAS152",7,"conference"
"tag","TtW15",7,"conference"
"tag","UCDPB15",7,"conference"
"tag","ACMGMtg",6,"conference"
"tag","EFAMedConf",6,"conference"
"tag","ESHG2015",6,"conference"
"tag","Fungal15",6,"conference"
"tag","USANZ15",6,"conference"
"tag","41ouconference",5,"conference"
"tag","BNA2015",5,"conference"
"tag","IHMC2015",5,"conference"
"tag","pfx15",5,"conference"
"tag","AIABanff15",4,"conference"
"tag","ASCRSASOA2015",4,"conference"
"tag","CannabisCup2015",4,"conference"
"tag","DNA2015",4,"conference"
"tag","Genome15",4,"conference"
"tag","nrc2015",4,"conference"
"tag","plant15",4,"conference"
"tag","SY4157",4,"conference"
"tag","2015NOHC",3,"conference"
"tag","wine",320,"mesh"
"tag","genome",250,"mesh"
"tag","cannabis",245,"mesh"
"tag","bioethics",201,"mesh"
"tag","obesity",198,"mesh"
"tag","Medicine",174,"mesh"
"tag","research",149,"mesh"
"tag","fertility",132,"mesh"
"tag","family",127,"mesh"
"tag","diet",106,"mesh"
"tag","environment",94,"mesh"
"tag","twins",92,"mesh"
"tag","Anthropology",90,"mesh"
"tag","exercise",75,"mesh"
"tag","crime",72,"mesh"
"tag","Hungary",61,"mesh"
"tag","Mummies",61,"mesh"
"tag","tuberculosis",61,"mesh"
"tag","life",58,"mesh"
"tag","anorexia",53,"mesh"
"tag","ethics",50,"mesh"
"tag","education",46,"mesh"
"tag","psychology",42,"mesh"
"tag","disease",41,"mesh"
"tag","china",39,"mesh"
"tag","dogs",39,"mesh"
"tag","history",39,"mesh"
"tag","risk",39,"mesh"
"tag","Hernia",34,"mesh"
"tag","nature",34,"mesh"
"tag","aging",33,"mesh"
"tag","Biotechnology",33,"mesh"
"tag","nutrition",32,"mesh"
"tag","anatomy",31,"mesh"
"tag","Asthma",30,"mesh"
"tag","skin",30,"mesh"
"tag","tigers",29,"mesh"
"tag","nanotechnology",27,"mesh"
"tag","pathology",27,"mesh"
"tag","Nutrigenomics",26,"mesh"
"tag","diagnosis",25,"mesh"
"tag","technology",25,"mesh"
"tag","Engineering",24,"mesh"
"tag","pregnancy",24,"mesh"
"tag","Drosophila",23,"mesh"
"tag","hunger",23,"mesh"
"tag","malaria",22,"mesh"
"tag","rosacea",21,"mesh"
"tag","Chicago",20,"mesh"
"tag","food",20,"mesh"
"tag","fitness",192,"none"
"tag","infographic",163,"none"
"tag","CancerFilm",162,"none"
"tag","SNRTG",152,"none"
"tag","KVTC",146,"none"
"tag","mosquito",146,"none"
"tag","job",143,"none"
"tag","GeneticTesting",135,"none"
"tag","lynchsyndrome",128,"none"
"tag","TheSuiteLifeOfZackAndCody",127,"none"
"tag","EurekaMag",122,"none"
"tag","evolution",122,"none"
"tag","PrecisionMedicine",113,"none"
"tag","Epigenetics",107,"none"
"tag","healthcare",107,"none"
"tag","WearableTech",106,"none"
"tag","breastcancer",101,"none"
"tag","biotech",99,"none"
"tag","heartdisease",95,"none"
"tag","mhealth",94,"none"
"tag","Modi",93,"none"
"tag","41",91,"none"
"tag","dataviz",91,"none"
"tag","storage",88,"none"
"tag","hereditarycancer",87,"none"
"tag","bioinformatics",81,"none"
